 185 341.9 541.1 2940
 186 340.0 543.0 2942
 187 338.1 544.9 2941
 188 336.3 546.7 2911
 189 334.4 548.6 2908
 190 332.5 550.5 2910
 191 330.7 552.3 2909
 192 329.0 554.0 2083
 193 327.1 555.9 2080
 194 325.3 557.7 2082
 195 323.5 559.5 2081
 196 321.6 561.4 2883
 197 319.8 563.2 2880
 198 318.0 565.0 2882
 199 316.2 566.8 2881
 200 314.6 568.4 2371
 201 312.8 570.2 2368
 202 311.0 572.0 2370
 203 309.2 573.8 2369
 204 307.4 575.6 2019
 205 305.7 577.3 2016
 206 303.9 579.1 2018
 207 302.2 580.8 2017
 208 300.6 582.4 2627
 209 298.8 584.2 2624
 210 297.1 585.9 2626
 211 295.4 587.6 2625
 212 293.6 589.4 2339
 213 291.9 591.1 2336
 214 290.2 592.8 2338
 215 288.5 594.5 2337
 216 287.0 596.0 2307
 217 285.3 597.7 2304
 218 283.6 599.4 2306
 219 281.9 601.1 2305
 220 280.2 602.8 2595
 221 278.5 604.5 2592
 222 276.9 606.1 2594
 223 275.2 607.8 2593
 224 273.7 609.3 2051
 225 272.1 610.9 2048
 226 270.4 612.6 2050
 227 268.8 614.2 2049
 228 267.1 615.9 2659
 229 265.5 617.5 2656
 230 263.9 619.1 2658
 231 262.3 620.7 2657
 232 260.9 622.1 2947
 233 259.2 623.8 2944
 234 257.6 625.4 2946
 235 256.0 627.0 2945
 236 254.4 628.6 2915
 237 252.8 630.2 2912
 238 251.3 631.7 2914
 239 249.7 633.3 2913
 240 248.3 634.7 2087
 241 246.8 636.2 2084
 242 245.2 637.8 2086
 243 243.6 639.4 2085
 244 242.1 640.9 2887
 245 240.5 642.5 2884
 246 239.0 644.0 2886
 247 237.5 645.5 2885
 248 236.2 646.8 2375
 249 234.6 648.4 2372
 250 233.1 649.9 2374
 251 231.6 651.4 2373
 252 230.1 652.9 2023
 253 228.6 654.4 2020
 254 227.1 655.9 2022
 255 225.6 657.4 2021
 256 224.3 658.7 2631
 257 222.8 660.2 2628
 258 221.3 661.7 2630
 259 219.9 663.1 2629
 260 218.4 664.6 2343
 261 216.9 666.1 2340
 262 215.5 667.5 2342
 263 214.1 668.9 2341
 264 212.8 670.2 2311
 265 211.4 671.6 2308
 266 209.9 673.1 2310
 267 208.5 674.5 2309
 268 207.1 675.9 2599
 269 205.7 677.3 2596
 270 204.3 678.7 2598
 271 202.9 680.1 2597
 272 201.7 681.3 2055
 273 200.3 682.7 2052
 274 198.9 684.1 2054
 275 197.5 685.5 2053
 276 196.1 686.9 2663
 277 194.7 688.3 2660
 278 193.4 689.6 2662
 279 192.0 691.0 2661
 280 190.9 692.1 2951
 281 189.5 693.5 2948
 282 188.1 694.9 2950
 283 186.8 696.2 2949
 284 185.4 697.6 2919
 285 184.1 698.9 2916
 286 182.8 700.2 2918
 287 181.5 701.5 2917
 288 180.4 702.6 2091
 289 179.0 704.0 2088
 290 177.7 705.3 2090
 291 176.4 706.6 2089
 292 175.1 707.9 2891
 293 173.8 709.2 2888
 294 172.5 710.5 2890
 295 171.3 711.7 2889
 296 170.2 712.8 2379
 297 168.9 714.1 2376
 298 167.6 715.4 2378
 299 166.4 716.6 2377
 300 165.1 717.9 2027
 301 163.9 719.1 2024
 302 162.6 720.4 2026
 303 161.4 721.6 2025
 304 160.4 722.6 2635
 305 159.1 723.9 2632
 306 157.9 725.1 2634
 307 156.7 726.3 2633
 308 155.4 727.6 2347
 309 154.2 728.8 2344
 310 153.1 729.9 2346
 311 151.9 731.1 2345
 312 150.9 732.1 2315
 313 149.7 733.3 2312
 314 148.5 734.5 2314
 315 147.3 735.7 2313
 316 146.1 736.9 2603
 317 144.9 738.1 2600
 318 143.8 739.2 2602
 319 142.7 740.3 2601
 320 141.7 741.3 2059
 321 140.5 742.5 2056
 322 139.4 743.6 2058
 323 138.2 744.8 2057
 324 137.1 745.9 2667
 325 136.0 747.0 2664
 326 134.9 748.1 2666
 327 133.8 749.2 2665
